1376432193404	1439	765760	4582032	45.34
1376432194411	3181	1136896	5084752	75.78
1376432195412	4835	1401088	5390304	94.52
1376432196413	6370	1655296	5780112	116.53
1376432197414	7984	1896192	6092944	128.78
1376432198415	9556	2145472	6441040	141.62
1376432199417	10751	2349952	6708768	144.57
1376432200419	12955	2648192	7039968	154.23
1376432201420	14653	2884672	7343280	156.98
1376432202422	16230	3128256	7724128	169.88
1376432203423	17866	3395200	8055104	175.61
1376432204424	19446	3667264	8445936	187.17
1376432205425	21101	3957312	8810992	192.64
1376432206425	22743	4257152	9191248	199.61
1376432207429	24233	4466944	4593232	197.04
1376432208430	25789	4691456	4936464	197.82
1376432209430	27315	4892800	5238144	194.16
1376432210432	28961	1899200	5627920	198.90
1376432211433	30437	2104448	5946144	196.26
1376432212434	31978	2368448	6306256	199.72
1376432213435	33502	2564736	6621744	198.13
1376432214437	34990	2809280	6991216	201.61
1376432215438	36535	3006912	7285920	197.44
1376432216439	38045	3274496	7670864	204.35
1376432217440	39527	3529728	8048240	208.47
1376432218442	41050	3779712	8398144	209.49
1376432219443	42651	4035072	8741040	209.17
1376432220444	44286	4272064	9047856	204.86
1376432221445	45871	4496448	9366816	202.61
1376432222447	47369	1434432	4783872	201.21
1376432223448	48856	1682304	5143200	204.71
1376432224450	50394	1948544	5529984	210.07
1376432225450	51996	2157696	5827264	206.20
1376432226452	53521	2382592	6166720	205.93
1376432227453	55116	2601152	6499648	204.83
1376432228454	56681	2844800	6848896	206.97
1376432229458	58274	3036864	7136128	201.26
1376432230460	59902	3258880	7467424	201.26
1376432231461	61401	3474880	7797520	201.15
1376432232462	62902	3740864	8192032	208.52
1376432233463	64370	3977216	8536544	209.17
1376432234464	65916	4225856	8908640	211.91
1376432235465	67539	4435264	9223616	208.14
1376432236467	68992	1361728	4623056	203.79
1376432237468	70598	1520768	4862960	192.93
1376432238469	72106	1745664	5202416	194.73
1376432239470	73663	1939136	5479856	191.19
1376432240472	75207	2169152	5837264	194.84
1376432241473	76720	2404736	6162032	196.00
1376432242474	78326	2668864	6517776	199.45
1376432243475	79925	2904064	6826512	198.03
1376432244476	81498	3099008	7112112	193.44
1376432245478	83079	3274752	7378128	188.02
1376432246479	84125	3423040	7585392	177.60
1376432247480	85058	3566976	7774704	166.34
1376432248482	85937	3699072	7986576	158.98
1376432249483	86872	3845312	8197376	153.80
1376432250484	87773	4018816	8448464	153.69
1376432251485	94469	4264512	8687264	152.93
1376432252486	96027	4544576	9098528	171.48
1376432253486	97542	4782784	4546880	179.26
1376432254488	99079	1762496	4918976	188.93
1376432255489	100605	1962432	5214640	187.40
1376432256490	102081	2182656	5541040	189.93
1376432257491	103670	2393216	5859280	190.42
1376432258493	105263	2622400	6192208	193.21
1376432259494	106954	2807872	6463120	188.25
1376432260495	108489	3031040	6791152	191.30
1376432261497	110046	3203392	7049008	185.48
1376432262498	111579	3367168	7288912	178.94
1376432263499	113196	3589760	7630000	183.90
1376432264500	114674	3795520	7935184	184.70
1376432265500	116338	3993152	8232208	184.76
1376432266502	117836	4223616	8583088	189.97
1376432267503	119423	4410304	8852720	186.12
1376432268505	120905	4627712	9183904	188.69
1376432269506	122489	4852800	4601248	191.18
1376432270507	124017	5104704	4983136	198.81
1376432271509	125515	5336192	5335648	201.91
1376432272510	127087	5613248	5745280	211.42
1376432273511	128608	2573312	6089632	212.28
1376432274513	130164	2783424	6420640	210.41
1376432275514	131783	2928320	6623296	195.79
1376432276517	133316	3091008	6866464	187.98
1376432277521	134848	3305664	7189600	189.51
1376432278521	136406	3527296	7506208	191.63
1376432279523	137987	3711680	7793440	188.30
1376432280523	139565	3901440	8069248	185.27
1376432281524	141136	4087872	8345056	182.82
1376432282525	142679	4340160	8717152	191.80
1376432283527	144147	4563968	9050080	194.64
1376432284528	145596	4797696	4503696	199.04
1376432285529	147118	4999552	4810144	196.99
1376432286530	148660	5208256	5112064	195.89
1376432287531	150191	5404416	5412352	193.32
1376432288533	151687	5658304	5797504	201.05
1376432289535	153165	2593856	6104320	199.84
1376432290536	154674	2811008	6435616	200.19
1376432291538	156296	3006336	6722848	195.98
1376432292539	157804	3267648	7114528	205.10
1376432293540	159235	3475904	7429504	203.31
1376432294542	160861	3707200	7778752	205.52
1376432295544	162466	3909120	8079040	202.19
1376432296547	163967	4136128	8419600	203.77
1376432297548	165468	4309696	8658400	193.55
1376432298550	166973	4490688	8929616	189.25
1376432299551	168586	4725376	9293552	196.56
1376432300553	169974	4973376	4746800	201.06
1376432301554	171494	5196160	5099632	204.08
1376432302555	173054	5433984	5460016	207.75
1376432303556	174544	5658688	5795696	208.18
1376432304557	176165	2575040	6079664	202.79
1376432305559	177761	2774272	6371792	199.62
1376432306559	179237	3018112	6743600	204.88
1376432307561	180739	3261952	7109456	209.34
1376432308564	182285	3484864	7439120	208.24
1376432309565	183889	3615616	7636592	193.11
1376432310567	185420	3817024	7927088	191.52
1376432311567	186920	4063104	8305712	199.17
1376432312569	188410	4327488	8703392	207.88
1376432313570	189925	4566720	9047984	210.81
1376432314626	191430	4807936	4502272	213.93
1376432315628	192964	1762880	4872272	216.83
1376432316629	194556	2031104	5270480	223.41
1376432317630	196026	2257664	5611568	222.37
1376432318632	197474	2520256	6001616	226.84
1376432319633	198985	2774784	6381872	229.42
1376432320639	200521	3008320	6732224	227.77
1376432321640	202084	3215488	7018352	220.05
1376432322642	203634	3427648	7349648	218.53
