Timestamp	Compilation Time	Code Cache Size	Perm Gen Size	Invocations/s
1376435309027	1669	903104	5186200	72.80
1376435310031	3623	1448000	6131864	133.55
1376435311032	5580	2005056	7072152	190.96
1376435312032	7566	2483328	7794960	220.60
1376435313033	9526	3032128	8835888	275.90
1376435314033	11488	3571072	9727496	304.95
1376435315034	13440	4153728	10717080	343.16
1376435316034	15399	4717952	11874448	382.41
1376435317035	17339	5283136	12943200	405.91
1376435318035	19293	5848320	14071208	434.99
1376435319036	21247	6432192	15199976	462.86
1376435320036	23210	7019264	16293120	475.85
1376435321037	25158	7551552	17128960	468.89
1376435322037	27078	8097344	18258304	485.78
1376435323038	29020	8664512	19383296	501.25
1376435324038	30960	9229184	20513424	513.35
1376435325038	32928	9799616	21590544	523.90
1376435326039	34873	10344448	22730768	528.93
1376435327039	36810	10893312	23805712	533.78
1376435328040	38769	11466240	24946440	541.22
1376435329040	40581	11983744	26006632	441.23
1376435330040	42525	12552384	26936888	432.35
1376435331041	43959	12976576	27633440	408.67
1376435332044	46444	13573184	28680688	412.24
1376435333048	48372	14128640	29782536	419.53
1376435334049	50310	14701888	30920296	427.79
1376435335049	52275	15255808	32023816	434.27
1376435336049	54196	15809664	33090056	438.22
1376435337050	56129	16369984	34209304	441.49
1376435338050	58031	16894336	35257352	441.75
1376435339051	59967	17452544	36364936	445.41
1376435340051	61913	18018688	37483400	450.03
1376435341053	63845	18577280	38619272	450.84
1376435342053	65365	19024192	39546248	440.84
1376435343054	65365	19024192	39972744	390.64
1376435344054	65365	19024192	40318760	346.43
1376435345055	65365	19024192	40708544	314.85
1376435346055	65365	19024192	41093696	289.36
1376435347056	65365	19024192	41537888	269.32
1376435348056	65365	19024192	41920864	249.69
1376435349056	65365	19024192	42349536	237.95
1376435350057	65365	19024192	42727840	221.35
1376435351057	65365	19024192	43121696	210.70
1376435352059	65365	19024192	43537440	203.34
1376435353060	65365	19024192	43881248	195.65
1376435354060	65365	19024192	44266400	186.87
1376435355061	65365	19024192	44662432	184.75
1376435356061	65365	19024192	45095456	181.93
1376435357062	65365	19024192	45434976	178.26
1376435358062	65365	19024192	45841888	172.48
1376435359063	65365	19024192	46301024	177.89
1376435360063	65365	19024192	46660064	175.28
1376435361064	65365	19024192	47095264	172.38
1376435362064	65365	19024192	47478240	169.79
1376435363065	65365	19024192	47804640	164.90
1376435364065	65365	19024192	48250720	168.30
1376435365066	65365	19024192	48624992	167.14
1376435366066	65365	19024192	49001440	163.86
1376435367067	65365	19024192	49432288	167.85
1376435368068	65365	19024192	49802208	164.44
1376435369069	65365	19024192	50228704	167.38
1376435370070	65365	19024192	50620384	166.35
1376435371071	65365	19024192	50979424	166.89
1376435372071	65365	19024192	51421152	166.44
1376435373072	65365	19024192	51801952	164.93
1376435374072	65365	19024192	52206688	166.54
1376435375073	65365	19024192	52640736	168.88
1376435376073	65365	19024192	52987872	164.30
1376435377074	65365	19024192	53377376	164.38
1376435378075	65365	19024192	53740768	161.27
1376435379076	65365	19024192	54147680	167.62
1376435380076	65365	19024192	54593032	167.15
1376435381077	65365	19024192	54986888	166.00
1376435382077	65365	19024192	55389448	168.93
1376435383078	65365	19024192	55752840	166.67
1376435384079	65365	19024192	56216496	168.22
1376435385080	65365	19024192	56613328	173.04
1376435386080	65365	19024192	57028944	171.82
1376435387081	65365	19024192	57444560	173.93
1376435388081	65365	19024192	57807952	166.80
1376435389082	65365	19024192	58199632	166.27
1376435390082	65365	19024192	58647888	171.48
1376435391083	65365	19024192	59037720	171.58
1376435392083	65365	19024192	59446808	169.69
1376435393084	65365	19024192	59834136	168.84
1376435394084	65365	19024192	60240856	171.37
1376435395085	65365	19024192	60639256	172.38
1376435396085	65365	19024192	61046168	169.62
1376435397085	65365	19024192	61477016	170.11
1376435398086	65365	19024192	61818648	164.82
1376435399086	65365	19024192	62247320	168.33
1376435400087	65365	19024192	62632472	168.38
1376435401087	65365	19024192	62991512	165.93
1376435402088	65365	19024192	63426712	167.11
1376435403088	65365	19024192	63837112	168.36
1376435404089	65365	19024192	64192664	164.86
1376435405090	65365	19024192	64586520	163.63
1376435406091	65365	19024192	64980376	164.28
1376435407091	65365	19024192	65389464	164.80
1376435408092	65365	19024192	65776792	164.07
1376435409093	65365	19024192	66201112	168.00
1376435410093	65365	19024192	66571032	167.06
1376435411094	65365	19024192	67019288	168.81
1376435412095	65365	19024192	67421848	169.20
1376435413095	65365	19024192	67817880	168.66
1376435414095	65365	19024192	68200856	167.94
1376435415096	65365	19024192	68562072	163.21
1376435416096	65365	19024192	68966808	163.91
1376435417097	65365	19024192	69391128	165.81
1376435418098	65365	19024192	69826328	170.21
1376435419098	65365	19024192	70214744	168.41
1376435420099	65365	19024192	70578136	164.57
